,time,price,change,volume,amount,type
0,15:00:03,3.42,-0.01,1686,576612,卖盘
1,14:57:00,3.43,--,0,0,买盘
2,14:56:48,3.43,--,11,3773,买盘
3,14:56:42,3.43,--,2,686,买盘
4,14:56:27,3.43,--,228,78204,买盘
5,14:56:24,3.43,0.01,49,16807,买盘
6,14:56:18,3.42,-0.01,20,6840,卖盘
7,14:56:15,3.43,0.01,164,56252,买盘
8,14:56:03,3.42,--,1,342,卖盘
9,14:55:39,3.42,-0.01,1000,342000,卖盘
10,14:55:36,3.43,0.01,33,11319,买盘
11,14:55:30,3.42,-0.01,124,42408,卖盘
12,14:55:09,3.43,0.01,1,343,买盘
13,14:55:06,3.42,-0.01,339,115938,卖盘
14,14:55:03,3.43,--,8,2744,买盘
15,14:54:57,3.43,0.01,72,24696,买盘
16,14:54:51,3.42,-0.01,13,4446,卖盘
17,14:54:24,3.43,--,10,3430,卖盘
18,14:54:21,3.43,0.01,40,13720,卖盘
19,14:54:18,3.42,-0.01,120,41040,卖盘
20,14:54:15,3.43,--,9,3087,卖盘
21,14:54:09,3.43,0.01,352,121075,买盘
22,14:54:03,3.42,-0.01,2,684,卖盘
23,14:53:51,3.43,--,255,87468,卖盘
24,14:53:45,3.43,--,117,40470,买盘
25,14:53:42,3.43,--,40,13723,卖盘
26,14:53:30,3.43,--,64,21952,卖盘
27,14:53:27,3.43,--,10,3430,卖盘
28,14:53:21,3.43,--,60,20580,卖盘
29,14:53:12,3.43,--,54,18522,卖盘
30,14:53:06,3.43,--,53,18179,卖盘
31,14:53:03,3.43,--,194,66542,卖盘
32,14:53:00,3.43,--,30,10290,卖盘
33,14:52:57,3.43,--,50,17150,卖盘
34,14:52:54,3.43,--,6,2058,卖盘
35,14:52:51,3.43,--,5,1715,卖盘
36,14:52:48,3.43,--,500,171839,买盘
37,14:52:42,3.43,--,58,20212,卖盘
38,14:52:30,3.43,--,2913,999159,卖盘
39,14:52:24,3.43,-0.01,40,13720,卖盘
40,14:52:21,3.44,0.01,2,688,买盘
41,14:52:12,3.43,-0.01,261,89523,卖盘
42,14:52:09,3.44,0.01,1,344,买盘
43,14:52:03,3.43,--,1,343,卖盘
44,14:51:54,3.43,-0.01,6,2058,卖盘
45,14:51:48,3.44,0.01,20,6880,买盘
46,14:51:45,3.43,-0.01,0,24,卖盘
